C?digo postal;Estado;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20303;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20304;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20305;Aguascalientes;;;;
20310;Aguascalientes;;;;
20310;Aguascalientes;;;;
20310;Aguascalientes;;;;
20311;Aguascalientes;;;;
20311;Aguascalientes;;;;
20311;Aguascalientes;;;;
20312;Aguascalientes;;;;
20313;Aguascalientes;;;;
20313;Aguascalientes;;;;
20314;Aguascalientes;;;;
20314;Aguascalientes;;;;
20315;Aguascalientes;;;;
20316;Aguascalientes;;;;
20316;Aguascalientes;;;;
20317;Aguascalientes;;;;
20318;Aguascalientes;;;;
20319;Aguascalientes;;;;
20320;Aguascalientes;;;;
20320;Aguascalientes;;;;
20320;Aguascalientes;;;;
20321;Aguascalientes;;;;
20321;Aguascalientes;;;;
20322;Aguascalientes;;;;
20322;Aguascalientes;;;;
20323;Aguascalientes;;;;
20324;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20326;Aguascalientes;;;;
20328;Aguascalientes;;;;
20328;Aguascalientes;;;;
20328;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20329;Aguascalientes;;;;
20330;Aguascalientes;;;;
20330;Aguascalientes;;;;
20330;Aguascalientes;;;;
20330;Aguascalientes;;;;
20330;Aguascalientes;;;;
20330;Aguascalientes;;;;
20330;Aguascalientes;;;;
20330;Aguascalientes;;;;
20330;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20333;Aguascalientes;;;;
20334;Aguascalientes;;;;
20334;Aguascalientes;;;;
20334;Aguascalientes;;;;
20335;Aguascalientes;;;;
20335;Aguascalientes;;;;
20335;Aguascalientes;;;;
20336;Aguascalientes;;;;
20336;Aguascalientes;;;;
20336;Aguascalientes;;;;
20336;Aguascalientes;;;;
20336;Aguascalientes;;;;
20337;Aguascalientes;;;;
20337;Aguascalientes;;;;
20337;Aguascalientes;;;;
20337;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
20338;Aguascalientes;;;;
